Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VM0005_Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subj0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age, 31y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyzeMode,Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre Time[s],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Time[s],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Time[s],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Time[s],25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,04/12/2007 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,3x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave[nm],695,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Period[s],0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StimType,STIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stim Time[s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,20,B,1,C,1,D,1,E,1,F,1,G,1,H,1,I,1,J,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repeat Count,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probe1,CH1(698.1),CH1(828.7),CH2(697.1),CH2(828.2),CH3(698.1),CH3(828.7),CH4(698.3),CH4(828.4),CH5(697.1),CH5(828.2),CH6(698.3),CH6(828.4),CH7(698.3),CH7(828.4),CH8(697.5),CH8(828.7),CH9(698.3),CH9(828.4),CH10(697.9),CH10(829.0),CH11(697.5),CH11(828.7),CH12(697.9),CH12(829.0),CH13(698.7),CH13(828.2),CH14(698.2),CH14(827.5),CH15(698.7),CH15(828.2),CH16(697.7),CH16(828.6),CH17(698.2),CH17(827.5),CH18(697.7),CH18(828.6),CH19(697.7),CH19(828.6),CH20(698.4),CH20(828.9),CH21(697.7),CH21(828.6),CH22(697.1),CH22(828.8),CH23(698.4),CH23(828.9),CH24(697.1),CH24(828.8),Mark,Time,BodyMovement,RemovalMark,PreScan
1,1.59912109,1.58981323,1.59927368,1.60369873,1.5675354,1.43356323,1.5965271,1.54373169,1.67984009,1.6015625,1.52175903,1.40106201,1.7048645,1.59484863,1.70150757,1.69311523,1.84585571,1.71142578,1.91390991,1.76681519,1.72866821,1.74697876,1.77261353,1.62811279,1.60079956,1.54022217,1.50680542,1.37908936,1.76712036,1.77139282,1.51153564,1.43127441,1.52282715,1.43493652,1.82327271,1.73522949,1.54815674,1.46514893,1.67449951,1.71035767,1.85684204,1.66397095,2.14920044,2.02651978,2.02072144,1.86737061,2.06893921,1.78588867,0,0.51257974537037,0,0,1
2,1.57714844,1.59957886,1.66610718,1.61132813,1.57958984,1.44622803,1.6104126,1.55151367,1.68029785,1.60842896,1.52923584,1.4112854,1.70715332,1.60217285,1.7036438,1.70608521,1.85424805,1.72027588,1.92321777,1.77581787,1.7300415,1.75598145,1.77474976,1.63467407,1.5965271,1.55029297,1.51367188,1.38763428,1.74682617,1.78192139,1.5246582,1.44287109,1.54998779,1.44470215,1.83563232,1.74636841,1.5385437,1.47628784,1.70028687,1.72790527,1.87438965,1.67694092,2.17376709,2.03598022,2.00683594,1.87271118,2.08892822,1.79092407,0,0.512581018518519,0,0,1
3,1.56143188,1.57928467,1.63925171,1.59301758,1.56478882,1.42669678,1.6104126,1.534729,1.6607666,1.58599854,1.51580811,1.39282227,1.70715332,1.58935547,1.69708252,1.6897583,1.83731079,1.70089722,1.92367554,1.76879883,1.72546387,1.74377441,1.76467896,1.62155151,1.5826416,1.52877808,1.49353027,1.36245728,1.71295166,1.76467896,1.50787354,1.40762329,1.50802612,1.41525269,1.81289673,1.70822144,1.5322876,1.44836426,1.71264648,1.67922974,1.82571411,1.63772583,2.1484375,2.01263428,1.98059082,1.82891846,2.04574585,1.77032471,0,0.512582060185185,0,0,1
4,1.56509399,1.54632568,1.587677,1.55197144,1.53503418,1.39633179,1.5864563,1.51351929,1.63543701,1.55670166,1.50558472,1.37008667,1.69540405,1.56997681,1.6847229,1.66244507,1.83532715,1.68151855,1.90429688,1.75064087,1.72119141,1.72729492,1.75231934,1.60171509,1.56433105,1.49642944,1.47186279,1.33010864,1.7489624,1.73522949,1.48223877,1.36245728,1.49719238,1.37954712,1.79458618,1.6633606,1.51275635,1.41860962,1.68273926,1.6519165,1.81121826,1.6027832,2.11624146,1.98120117,1.97509766,1.80084229,2.02896118,1.74102783,0,0.512583333333333,0,0,1
5,1.60018921,1.56570435,1.59591675,1.55715942,1.53945923,1.40060425,1.58493042,1.51611328,1.640625,1.55990601,1.50878906,1.37390137,1.69708252,1.57287598,1.68334961,1.66107178,1.83502197,1.68411255,1.90628052,1.74743652,1.71524048,1.72195435,1.75537109,1.59912109,1.56082153,1.50131226,1.48956299,1.33880615,1.75765991,1.7388916,1.51687622,1.37237549,1.53747559,1.39205933,1.80419922,1.67892456,1.5296936,1.42700195,1.68029785,1.66625977,1.81869507,1.61560059,2.12631226,1.98501587,1.97875977,1.8069458,2.06756592,1.74194336,0,0.512584375,0,0,1
6,1.60522461,1.55792236,1.58279419,1.56265259,1.54129028,1.40350342,1.59469604,1.52038574,1.6267395,1.56280518,1.5071106,1.37786865,1.70501709,1.57516479,1.68777466,1.66519165,1.83547974,1.68823242,1.91101074,1.75033569,1.71401978,1.72149658,1.75201416,1.59896851,1.57913208,1.50802612,1.48590088,1.34017944,1.75216675,1.74255371,1.49795532,1.38366699,1.51596069,1.39373779,1.80969238,1.68899536,1.52709961,1.43280029,1.70028687,1.66061401,1.83456421,1.62185669,2.12585449,1.99111938,1.98440552,1.80526733,2.0652771,1.73904419,0,0.512585532407407,0,0,1
7,1.5171814,1.56890869,1.64489746,1.57470703,1.57333374,1.41204834,1.59759521,1.52648926,1.6355896,1.56890869,1.51519775,1.38565063,1.6998291,1.57974243,1.69174194,1.67648315,1.81777954,1.69174194,1.91101074,1.75292969,1.71981812,1.72775269,1.75720215,1.60217285,1.58035278,1.51657104,1.49536133,1.35040283,1.75857544,1.74407959,1.51535034,1.39556885,1.51428223,1.40197754,1.81304932,1.70501709,1.51702881,1.44317627,1.70822144,1.67160034,1.8006897,1.62826538,2.13882446,2.00057983,1.99371338,1.81564331,2.04574585,1.7477417,0,0.512586805555556,0,0,1
8,1.51870728,1.58920288,1.65374756,1.59133911,1.55792236,1.42227173,1.59484863,1.53656006,1.65176392,1.58538818,1.51824951,1.39877319,1.7086792,1.59072876,1.6998291,1.68731689,1.84585571,1.69891357,1.91741943,1.76223755,1.72134399,1.73233032,1.76010132,1.61026001,1.57272339,1.53091431,1.50039673,1.36779785,1.77001953,1.75262451,1.50238037,1.41204834,1.5133667,1.42532349,1.82159424,1.72348022,1.53549194,1.45599365,1.71783447,1.69219971,1.83197021,1.6444397,2.15057373,2.01461792,1.99523926,1.82891846,2.03491211,1.75354004,0,0.512587847222222,0,0,1
9,1.6229248,1.59698486,1.64352417,1.61300659,1.56448364,1.43218994,1.6027832,1.54464722,1.67541504,1.6027832,1.52206421,1.40975952,1.70837402,1.59820557,1.70547485,1.6973877,1.85333252,1.71066284,1.91497803,1.76925659,1.72515869,1.7364502,1.76544189,1.6178894,1.58782959,1.54251099,1.49765015,1.381073,1.71615601,1.76986694,1.51535034,1.43539429,1.51992798,1.44058228,1.82952881,1.74346924,1.54541016,1.47109985,1.73690796,1.71218872,1.8649292,1.66442871,2.12844849,2.02926636,1.99966431,1.84585571,2.04696655,1.76147461,0,0.51258912037037,0,0,1
10,1.57302856,1.60858154,1.67251587,1.62246704,1.57043457,1.4465332,1.60797119,1.55349731,1.67938232,1.6078186,1.54098511,1.41952515,1.71417236,1.60552979,1.71096802,1.70928955,1.84143066,1.71417236,1.91665649,1.77429199,1.72790527,1.74468994,1.77139282,1.6255188,1.60324097,1.55670166,1.51138306,1.39328003,1.73522949,1.78497314,1.52572632,1.45294189,1.55456543,1.44927979,1.84921265,1.76391602,1.5524292,1.48803711,1.69998169,1.72561646,1.86752319,1.6809082,2.13134766,2.04055786,2.01553345,1.86050415,2.05551147,1.77200317,0,0.512590162037037,0,0,1
11,1.61880493,1.61239624,1.65359497,1.62063599,1.56951904,1.46011353,1.62979126,1.56433105,1.6835022,1.62445068,1.53839111,1.431427,1.72714233,1.61560059,1.71844482,1.7237854,1.85089111,1.72744751,1.91818237,1.78665161,1.73141479,1.75292969,1.77429199,1.63421631,1.60598755,1.56616211,1.53778076,1.40914917,1.77276611,1.79748535,1.53594971,1.46743774,1.5637207,1.46789551,1.84371948,1.7741394,1.54342651,1.49795532,1.73095703,1.73706055,1.86157227,1.69189453,2.16262817,2.06542969,2.02346802,1.87759399,2.04223633,1.7829895,0,0.512591319444444,0,0,1
12,1.57196045,1.62094116,1.66519165,1.64169312,1.57791138,1.46850586,1.62536621,1.57577515,1.68685913,1.63421631,1.55273438,1.4440918,1.72088623,1.62445068,1.72012329,1.73660278,1.86706543,1.74118042,1.92443848,1.79382324,1.73278809,1.76132202,1.77902222,1.64230347,1.61575317,1.58233643,1.53106689,1.42456055,1.78024292,1.80404663,1.5435791,1.48986816,1.5725708,1.48422241,1.85012817,1.78741455,1.56936646,1.51016235,1.71356201,1.7539978,1.83883667,1.70196533,2.18811035,2.08206177,2.0300293,1.8977356,2.06069946,1.79489136,0,0.512592592592593,0,0,1
13,1.59179688,1.63497925,1.668396,1.6494751,1.58096313,1.48101807,1.61605835,1.58187866,1.6885376,1.64428711,1.55151367,1.45141602,1.71905518,1.63024902,1.71951294,1.74484253,1.86767578,1.74346924,1.9354248,1.80114746,1.73187256,1.76651001,1.77856445,1.64779663,1.62277222,1.59179688,1.54647827,1.43310547,1.76467896,1.81518555,1.5612793,1.4982605,1.58035278,1.49597168,1.84677124,1.79351807,1.56173706,1.51855469,1.70288086,1.76681519,1.84036255,1.71051025,2.19436646,2.08740234,2.03155518,1.90353394,2.11044312,1.80908203,0,0.512593634259259,0,0,1
